Біграмма;Частота;Вірогідність;
те;3108;0.006956864307570402;
од;3041;0.006806893294505017;
ор;2997;0.006708404868014317;
др;504;0.0011281401579843896;
ай;409;0.0009154946916976494;
зе;143;0.00032008738609477723;
рф;11;2.462210662267517e-05;
ин;2936;0.006571864094924936;
ан;2944;0.006589771081559609;
си;951;0.002128693036196735;
ст;6765;0.01514259557294523;
фи;421;0.0009423551716496588;
ла;3099;0.006936718947606396;
де;3065;0.006860614254409036;
ль;2326;0.0052064563640311316;
яг;141;0.000315610639436109;
ро;3652;0.008174539398728156;
ди;1053;0.002357007115788814;
лс;979;0.00219136748941809;
яф;54;0.00012087215978404174;
рэ;303;0.0006782271187882342;
нк;701;0.0015690997038632086;
ал;3506;0.007847736892645377;
дж;302;0.0006759887454589001;
ер;4915;0.011001604913677132;
но;6276;0.01404803101490085;
ау;1340;0.0029994202613077025;
пе;1819;0.004071601086058739;
рв;1038;0.0023234315158488024;
уд;2079;0.004653578151685607;
на;4939;0.011055325873581151;
сч;268;0.0005998840522615405;
ит;2783;0.006229392975536818;
ыв;692;0.0015489543438992016;
ат;3494;0.007820876412693368;
ог;2468;0.005524305376796574;
да;2494;0.005582503083359261;
бо;1205;0.002697239861847598;
ле;2668;0.005971980042663395;
ед;2391;0.005351950630437848;
ву;1259;0.00281811202163164;
хс;253;0.0005663084523215289;
от;3868;0.008658028037864323;
пя;201;0.00044991303919615535;
ти;2471;0.005531020496784576;
ся;2357;0.005275845937240489;
ты;873;0.001954099916508675;
чж;1;2.2383733293341064e-06;
ел;3297;0.007379916866814548;
ей;1292;0.0028919783414996653;
го;4421;0.009895848488986085;
дэ;32;7.16279465386914e-05;
то;6489;0.014524804534049016;
зо;307;0.0006871806121055707;
би;499;0.0011169482913377191;
ло;2859;0.00639950934856621;
ва;2909;0.0065114280150329155;
лк;365;0.0008170062652069489;
ра;3846;0.008608783824618972;
вы;1430;0.003200873860947772;
ми;2162;0.0048393631380203375;
па;594;0.001329593757624459;
рк;178;0.0003984304526214709;
ам;1762;0.003944013806286695;
ив;1959;0.004384973352165514;
ич;777;0.0017392160768926006;
ес;3870;0.008662504784522991;
тв;1695;0.0037940427932213103;
ен;5061;0.011328407419759911;
ны;2787;0.006238346468854154;
зд;384;0.0008595353584642968;
ия;1080;0.002417443195680835;
ип;1050;0.0023502919958008116;
ят;1172;0.002623373541979573;
ни;4462;0.009987621795488783;
ка;3995;0.008942301450689754;
ар;1093;0.0024465420489621784;
ым;711;0.0015914834371565495;
из;1428;0.003196397114289104;
чт;1506;0.003370990233977164;
оз;1076;0.0024084897023634983;
ем;2969;0.006645730414792962;
мы;540;0.0012087215978404174;
по;4386;0.009817505422459391;
не;5539;0.012398349871181614;
еу;375;0.0008393899985002899;
зн;1140;0.0025517455954408813;
фр;303;0.0006782271187882342;
эн;354;0.0007923841585842737;
кт;408;0.0009132563183683154;
ещ;452;0.001011744744859016;
ущ;217;0.00048572701246550105;
ов;4407;0.009864511262375407;
ег;2090;0.004678200258308282;
фа;69;0.00015444775972405333;
фо;84;0.00018802335966406494;
до;2317;0.005186311004067124;
ав;2234;0.005000526017732394;
ки;1277;0.002858402741559654;
вн;742;0.001660873010365907;
ад;1428;0.003196397114289104;
ом;3261;0.00729933542695852;
дс;521;0.0011661925045830695;
ко;4250;0.009513086649669952;
йп;376;0.000841628371829624;
оч;1255;0.0028091585283143033;
во;3523;0.007885789239244056;
йс;706;0.001580291570509879;
ет;3064;0.006858375881079702;
ио;978;0.002189129116088756;
ке;298;0.0006670352521415637;
ск;1839;0.004116368552645421;
их;984;0.0022025593560647608;
хо;1094;0.0024487804222915123;
