Біграмма;Частота;Вірогідність;
те;3019;0.0056812621848866;
од;2453;0.004616143139955889;
ор;2669;0.005022619665936514;
 д;4152;0.00781338211051645;
ра;3818;0.007184848963861226;
йз;3;5.645507305286453e-06;
ер;4563;0.008586816611340696;
 ф;686;0.0012909393371421688;
ин;2090;0.003933036756016229;
ан;2128;0.004004546515216524;
си;925;0.0017406980857966564;
ст;6676;0.012563135590030788;
ил;2239;0.004213430285512122;
ад;1011;0.0019025359618815346;
ел;3044;0.005728308079097321;
ьф;77;0.00014490135416901897;
ия;990;0.0018630174107445295;
 г;1339;0.002519778093926187;
де;3096;0.005826163539055619;
 р;1792;0.003372249697024441;
ся;2383;0.0044844146361658725;
рэ;284;0.0005344413582337842;
нк;586;0.0011027557602992873;
 а;834;0.001569451030869634;
лд;29;5.457323728443571e-05;
же;2209;0.004156975212459258;
рн;420;0.0007903710227401034;
он;3619;0.006810363645943891;
 к;4918;0.009254868309132925;
ау;1141;0.002147174611777281;
пе;1823;0.0034305866058457345;
рв;1023;0.0019251179911026805;
уд;1911;0.0035961881534674707;
 н;7619;0.014337706719659163;
ас;1866;0.003511505543888174;
чи;822;0.0015468690016484882;
ты;806;0.001516759629353627;
ва;2845;0.0053538227611799865;
ла;3132;0.005893909626719057;
 т;3733;0.007024892923544777;
ог;2362;0.004444896085028867;
да;2540;0.004779862851809197;
 б;3599;0.0067727269305753145;
ол;3026;0.005694435035265602;
е ;10391;0.019554155469743845;
дв;408;0.0007677889935189576;
ух;152;0.0002860390368011803;
со;1679;0.003159602255191985;
т ;2726;0.005129884304736957;
пя;197;0.0003707216463804771;
ти;2360;0.00444113241349201;
ыс;435;0.0008185985592665357;
яч;160;0.0003010937229486108;
 ж;996;0.0018743084253551024;
ит;2347;0.004416668548502435;
ей;1274;0.0023974587689783136;
 э;1749;0.003291330758982002;
то;6371;0.011989175680659997;
из;1087;0.002045555480282125;
об;2519;0.004740344300672192;
ов;3289;0.006189357842362382;
ал;3471;0.006531851952216426;
вы;1436;0.002702316163463782;
ми;1767;0.003325203802813721;
 п;7855;0.014781819961008363;
ар;880;0.0016560154762173596;
ка;3933;0.00740126007723054;
 в;7464;0.014046022175552696;
ич;617;0.0011610926691205804;
ес;2784;0.005239030779305829;
тв;1466;0.0027587712365166467;
ен;4303;0.008097539311549202;
ны;2720;0.005118593290126384;
 з;2172;0.004087347289027392;
ни;4270;0.008035438731191051;
ям;244;0.0004591679274966315;
и ;9502;0.017881203471610627;
